Varga,Sun,Moon,Mars,Mercury,Jupiter,Venus,Saturn
D1,18.0,46.0,98.3,-14.7,94.8,-14.1,3.7
D2,18.0,46.0,98.3,-14.7,94.8,-14.1,3.7
D3,18.0,46.0,98.3,45.3,94.8,-14.1,3.7
D4,27.3,48.3,97.6,-15.5,92.3,-15.3,5.6
D7,21.6,47.6,110.1,44.2,94.8,-16.3,11.3
D9,18.0,46.0,98.3,-14.7,94.8,-14.1,3.7
D10,26.8,51.0,103.3,42.1,95.8,-14.4,3.9
D12,18.0,46.0,98.3,45.3,94.8,-14.1,3.7
D16,26.8,51.0,103.3,42.1,95.8,-19.6,5.8
D20,27.3,48.3,97.6,44.5,92.3,-15.3,5.6
D24,27.3,48.3,97.6,44.5,92.3,-15.3,3.6
D27,27.3,48.3,97.6,44.5,92.3,-15.3,5.6
D30,18.0,46.0,98.3,-14.7,94.8,-14.1,3.7
D40,27.3,48.3,97.6,-15.5,92.3,-15.3,3.6
D45,27.3,48.3,97.6,44.5,92.3,-15.3,5.6
D60,26.8,51.0,103.3,42.1,95.8,-14.4,5.8
