Metric,Sun,Moon,Mars,Mercury,Jupiter,Venus,Saturn
Sthana Bala,145.9,251.4,260.8,197.4,199.1,204.6,239.1
Uccha Bala,38.86,53.36,35.76,32.44,34.14,19.61,29.13
SaptaVarga Bala,62,123,150,120,90,80,120
Ojhayugma Bala,30,15,15,30,15,30,15
Kendradi Bala,15,60,60,15,60,60,60
Drekkana Bala,0,0,0,0,0,15,15
Required Sthana,165,133,96,165,165,133,96
% of Required,88.4,189.0,271.6,119.7,120.7,153.8,249.1
Dig Bala,43.44,2.18,57.67,49.28,30.01,29.36,3.68
Required Dig,35,50,30,35,35,50,30
% of Required,124.1,4.4,192.2,140.8,85.8,58.7,12.3
Kaala Bala,81.4,38.6,58.4,245.1,151.6,76.6,58.4
Natonnata Bala,41.48,18.52,18.52,60.00,41.48,41.48,18.52
Paksha Bala,39.89,20.11,39.89,20.11,20.11,20.11,39.89
Tribhaga Bala,0,0,0,60,60,0,0
Varsha Bala,0,0,0,0,0,15,0
Masa Bala,0,0,0,0,30,0,0
Dina Bala,0,0,0,45,0,0,0
Hora Bala,0,0,0,60,0,0,0
Required Kaala,112,100,67,112,112,100,67
% of Required,72.7,38.6,87.2,218.9,135.4,76.6,87.2
Ayana Bala,57.79,23.46,35.35,58.98,38.71,56.25,2.32
Required Ayana,30,40,20,30,30,40,20
% of Required,192.6,58.6,176.8,196.6,129.0,140.6,11.6
Cheshta Bala,57.79,20.11,27.22,56.22,19.90,35.10,11.97
Required Cheshta,50,30,40,50,50,30,40
% of Required,115.6,67.0,68.0,112.4,39.8,117.0,29.9
Drig Bala,4.4,-3.7,-1.9,5.7,-7.4,31.4,20.4
Naisargika Bala,60,51.43,17.14,25.71,34.29,42.86,8.57
+/- for Yuddha,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shad Bala Total,450.6,383.5,454.6,638.5,466.2,476.2,344.5
Required,390,360,300,420,390,330,300
% of Required,115.6,106.5,151.5,152.0,119.5,144.3,114.8
Rupas,7.51,6.39,7.58,10.64,7.77,7.94,5.74
Relative Rank,5,6,4,1,3,2,7
