Varga,MahaDasa,Planet,Shayanadi_Avastha
D1,Me,Sun,7. Sabhaayaam- Congregating
D1,Me,Moon,5. Gamana- Departing
D1,Me,Mars,10. Nrityalipsa- Desiring to Dance
D1,Me,Mercury,1. Shayana- Laying
D1,Me,Jupiter,7. Sabhaayaam- Congregating
D1,Me,Venus,1. Shayana- Laying
D1,Me,Saturn,1. Shayana- Laying
D1,Me,Rahu,1. Shayana- Laying
D1,Me,Ketu,4. Prakaashana- Illuminating
D1,Ke,Sun,8. Aagama- Aproaching
D1,Ke,Moon,6. Aagamana- Arriving
D1,Ke,Mars,11. Kautuka- Eagerness
D1,Ke,Mercury,2. Upavesha- Sitting
D1,Ke,Jupiter,8. Aagama- Aproaching
D1,Ke,Venus,2. Upavesha- Sitting
D1,Ke,Saturn,2. Upavesha- Sitting
D1,Ke,Rahu,2. Upavesha- Sitting
D1,Ke,Ketu,5. Gamana- Departing
D1,Ve,Sun,9. Bhojana- Eating
D1,Ve,Moon,7. Sabhaayaam- Congregating
D1,Ve,Mars,12. Nidra- Slumbering
D1,Ve,Mercury,3. Netrapani- Guiding the Hand
D1,Ve,Jupiter,9. Bhojana- Eating
D1,Ve,Venus,3. Netrapani- Guiding the Hand
D1,Ve,Saturn,3. Netrapani- Guiding the Hand
D1,Ve,Rahu,3. Netrapani- Guiding the Hand
D1,Ve,Ketu,6. Aagamana- Arriving
D1,Su,Sun,10. Nrityalipsa- Desiring to Dance
D1,Su,Moon,8. Aagama- Aproaching
D1,Su,Mars,1. Shayana- Laying
D1,Su,Mercury,4. Prakaashana- Illuminating
D1,Su,Jupiter,10. Nrityalipsa- Desiring to Dance
D1,Su,Venus,4. Prakaashana- Illuminating
D1,Su,Saturn,4. Prakaashana- Illuminating
D1,Su,Rahu,4. Prakaashana- Illuminating
D1,Su,Ketu,7. Sabhaayaam- Congregating
D1,Mo,Sun,11. Kautuka- Eagerness
D1,Mo,Moon,9. Bhojana- Eating
D1,Mo,Mars,2. Upavesha- Sitting
D1,Mo,Mercury,5. Gamana- Departing
D1,Mo,Jupiter,11. Kautuka- Eagerness
D1,Mo,Venus,5. Gamana- Departing
D1,Mo,Saturn,5. Gamana- Departing
D1,Mo,Rahu,5. Gamana- Departing
D1,Mo,Ketu,8. Aagama- Aproaching
D1,Ma,Sun,12. Nidra- Slumbering
D1,Ma,Moon,10. Nrityalipsa- Desiring to Dance
D1,Ma,Mars,3. Netrapani- Guiding the Hand
D1,Ma,Mercury,6. Aagamana- Arriving
D1,Ma,Jupiter,12. Nidra- Slumbering
D1,Ma,Venus,6. Aagamana- Arriving
D1,Ma,Saturn,6. Aagamana- Arriving
D1,Ma,Rahu,6. Aagamana- Arriving
D1,Ma,Ketu,9. Bhojana- Eating
D1,Ra,Sun,1. Shayana- Laying
D1,Ra,Moon,11. Kautuka- Eagerness
D1,Ra,Mars,4. Prakaashana- Illuminating
D1,Ra,Mercury,7. Sabhaayaam- Congregating
D1,Ra,Jupiter,1. Shayana- Laying
D1,Ra,Venus,7. Sabhaayaam- Congregating
D1,Ra,Saturn,7. Sabhaayaam- Congregating
D1,Ra,Rahu,7. Sabhaayaam- Congregating
D1,Ra,Ketu,10. Nrityalipsa- Desiring to Dance
D1,Ju,Sun,2. Upavesha- Sitting
D1,Ju,Moon,12. Nidra- Slumbering
D1,Ju,Mars,5. Gamana- Departing
D1,Ju,Mercury,8. Aagama- Aproaching
D1,Ju,Jupiter,2. Upavesha- Sitting
D1,Ju,Venus,8. Aagama- Aproaching
D1,Ju,Saturn,8. Aagama- Aproaching
D1,Ju,Rahu,8. Aagama- Aproaching
D1,Ju,Ketu,11. Kautuka- Eagerness
D1,Sa,Sun,3. Netrapani- Guiding the Hand
D1,Sa,Moon,1. Shayana- Laying
D1,Sa,Mars,6. Aagamana- Arriving
D1,Sa,Mercury,9. Bhojana- Eating
D1,Sa,Jupiter,3. Netrapani- Guiding the Hand
D1,Sa,Venus,9. Bhojana- Eating
D1,Sa,Saturn,9. Bhojana- Eating
D1,Sa,Rahu,9. Bhojana- Eating
D1,Sa,Ketu,12. Nidra- Slumbering
D2,Me,Sun,4. Prakaashana- Illuminating
D2,Me,Moon,1. Shayana- Laying
D2,Me,Mars,1. Shayana- Laying
D2,Me,Mercury,7. Sabhaayaam- Congregating
D2,Me,Jupiter,2. Upavesha- Sitting
D2,Me,Venus,7. Sabhaayaam- Congregating
D2,Me,Saturn,9. Bhojana- Eating
D2,Me,Rahu,7. Sabhaayaam- Congregating
D2,Me,Ketu,1. Shayana- Laying
D2,Ke,Sun,5. Gamana- Departing
D2,Ke,Moon,2. Upavesha- Sitting
D2,Ke,Mars,2. Upavesha- Sitting
D2,Ke,Mercury,8. Aagama- Aproaching
D2,Ke,Jupiter,3. Netrapani- Guiding the Hand
D2,Ke,Venus,8. Aagama- Aproaching
D2,Ke,Saturn,10. Nrityalipsa- Desiring to Dance
D2,Ke,Rahu,8. Aagama- Aproaching
D2,Ke,Ketu,2. Upavesha- Sitting
D2,Ve,Sun,6. Aagamana- Arriving
D2,Ve,Moon,3. Netrapani- Guiding the Hand
D2,Ve,Mars,3. Netrapani- Guiding the Hand
D2,Ve,Mercury,9. Bhojana- Eating
D2,Ve,Jupiter,4. Prakaashana- Illuminating
D2,Ve,Venus,9. Bhojana- Eating
D2,Ve,Saturn,11. Kautuka- Eagerness
D2,Ve,Rahu,9. Bhojana- Eating
D2,Ve,Ketu,3. Netrapani- Guiding the Hand
D2,Su,Sun,7. Sabhaayaam- Congregating
D2,Su,Moon,4. Prakaashana- Illuminating
D2,Su,Mars,4. Prakaashana- Illuminating
D2,Su,Mercury,10. Nrityalipsa- Desiring to Dance
D2,Su,Jupiter,5. Gamana- Departing
D2,Su,Venus,10. Nrityalipsa- Desiring to Dance
D2,Su,Saturn,12. Nidra- Slumbering
D2,Su,Rahu,10. Nrityalipsa- Desiring to Dance
D2,Su,Ketu,4. Prakaashana- Illuminating
D2,Mo,Sun,8. Aagama- Aproaching
D2,Mo,Moon,5. Gamana- Departing
D2,Mo,Mars,5. Gamana- Departing
D2,Mo,Mercury,11. Kautuka- Eagerness
D2,Mo,Jupiter,6. Aagamana- Arriving
D2,Mo,Venus,11. Kautuka- Eagerness
D2,Mo,Saturn,1. Shayana- Laying
D2,Mo,Rahu,11. Kautuka- Eagerness
D2,Mo,Ketu,5. Gamana- Departing
D2,Ma,Sun,9. Bhojana- Eating
D2,Ma,Moon,6. Aagamana- Arriving
D2,Ma,Mars,6. Aagamana- Arriving
D2,Ma,Mercury,12. Nidra- Slumbering
D2,Ma,Jupiter,7. Sabhaayaam- Congregating
D2,Ma,Venus,12. Nidra- Slumbering
D2,Ma,Saturn,2. Upavesha- Sitting
D2,Ma,Rahu,12. Nidra- Slumbering
D2,Ma,Ketu,6. Aagamana- Arriving
D2,Ra,Sun,10. Nrityalipsa- Desiring to Dance
D2,Ra,Moon,7. Sabhaayaam- Congregating
