Period,MahaDasa_Lord,AntarDasa_Lord,Start_Date,Start_Time
Me/Me,Me,Me,09/26/1969,00:03
Me/Ke,Me,Ke,02/22/1972,15:03
Me/Ve,Me,Ve,02/18/1973,19:49
Me/Su,Me,Su,12/20/1975,16:17
Me/Mo,Me,Mo,10/26/1976,03:13
Me/Ma,Me,Ma,03/27/1978,13:27
Me/Ra,Me,Ra,03/24/1979,18:13
Me/Ju,Me,Ju,10/11/1981,03:02
Me/Sa,Me,Sa,01/17/1984,00:13
Ke/Ke,Ke,Ke,09/26/1986,02:52
Ke/Ve,Ke,Ve,02/22/1987,06:14
Ke/Su,Ke,Su,04/23/1988,09:01
Ke/Mo,Ke,Mo,08/29/1988,05:03
Ke/Ma,Ke,Ma,03/30/1989,06:27
Ke/Ra,Ke,Ra,08/26/1989,09:49
Ke/Ju,Ke,Ju,09/13/1990,21:55
Ke/Sa,Ke,Sa,08/20/1991,19:21
Ke/Me,Ke,Me,09/28/1992,14:47
Ve/Ve,Ve,Ve,09/25/1993,19:33
Ve/Su,Ve,Su,01/25/1997,06:56
Ve/Mo,Ve,Mo,01/25/1998,12:44
Ve/Ma,Ve,Ma,09/26/1999,06:26
Ve/Ra,Ve,Ra,11/25/2000,09:13
Ve/Ju,Ve,Ju,11/26/2003,02:39
Ve/Sa,Ve,Sa,07/27/2006,02:09
Ve/Me,Ve,Me,09/25/2009,16:33
Ve/Ke,Ve,Ke,07/26/2012,13:02
Su/Su,Su,Su,09/25/2013,15:48
Su/Mo,Su,Mo,01/13/2014,05:33
Su/Ma,Su,Ma,07/14/2014,20:28
Su/Ra,Su,Ra,11/19/2014,16:30
Su/Ju,Su,Ju,10/14/2015,09:43
Su/Sa,Su,Sa,08/01/2016,14:22
Su/Me,Su,Me,07/14/2017,13:54
Su/Ke,Su,Ke,05/21/2018,00:50
Su/Ve,Su,Ve,09/25/2018,20:52
Mo/Mo,Mo,Mo,09/26/2019,02:41
Mo/Ma,Mo,Ma,07/26/2020,11:32
Mo/Ra,Mo,Ra,02/24/2021,12:55
Mo/Ju,Mo,Ju,08/26/2022,09:38
Mo/Sa,Mo,Sa,12/26/2023,09:23
Mo/Me,Mo,Me,07/26/2025,16:36
Mo/Ke,Mo,Ke,12/26/2026,02:50
Mo/Ve,Mo,Ve,07/27/2027,04:13
Mo/Su,Mo,Su,03/26/2029,21:54
Ma/Ma,Ma,Ma,09/25/2029,12:49
Ma/Ra,Ma,Ra,02/21/2030,16:11
Ma/Ju,Ma,Ju,03/12/2031,04:17
Ma/Sa,Ma,Sa,02/16/2032,01:43
Ma/Me,Ma,Me,03/26/2033,21:09
Ma/Ke,Ma,Ke,03/24/2034,01:55
Ma/Ve,Ma,Ve,08/20/2034,05:18
Ma/Su,Ma,Su,10/20/2035,08:05
Ma/Mo,Ma,Mo,02/25/2036,04:07
Ra/Ra,Ra,Ra,09/25/2036,05:30
Ra/Ju,Ra,Ju,06/08/2039,09:12
Ra/Sa,Ra,Sa,10/31/2041,23:09
Ra/Me,Ra,Me,09/06/2044,21:43
Ra/Ke,Ra,Ke,03/27/2047,06:32
Ra/Ve,Ra,Ve,04/13/2048,18:38
Ra/Su,Ra,Su,04/14/2051,12:05
Ra/Mo,Ra,Mo,03/08/2052,05:19
Ra/Ma,Ra,Ma,09/07/2053,02:02
Ju/Ju,Ju,Ju,09/25/2054,14:08
Ju/Sa,Ju,Sa,11/12/2056,18:32
Ju/Me,Ju,Me,05/27/2059,01:16
Ju/Ke,Ju,Ke,08/31/2061,22:26
Ju/Ve,Ju,Ve,08/07/2062,19:52
Ju/Su,Ju,Su,04/07/2065,19:22
Ju/Mo,Ju,Mo,01/25/2066,00:01
Ju/Ma,Ju,Ma,05/26/2067,23:46
Ju/Ra,Ju,Ra,05/01/2068,21:11
Sa/Sa,Sa,Sa,09/25/2070,11:08
Sa/Me,Sa,Me,09/28/2073,05:37
Sa/Ke,Sa,Ke,06/07/2076,08:16
Sa/Ve,Sa,Ve,07/17/2077,03:43
Sa/Su,Sa,Su,09/15/2080,18:07
Sa/Mo,Sa,Mo,08/28/2081,17:39
Sa/Ma,Sa,Ma,03/30/2083,00:51
Sa/Ra,Sa,Ra,05/07/2084,20:17
Sa/Ju,Sa,Ju,03/14/2087,18:51
