Level,Lord,Start_Date,Age_At_Start
MahaDasa,Me,09/26/1969,-5yrs -8mts
MahaDasa,Ke,09/26/1986,11yrs 3mts
MahaDasa,Ve,09/25/1993,18yrs 3mts
MahaDasa,Su,09/25/2013,38yrs 3mts
MahaDasa,Mo,09/26/2019,44yrs 3mts
MahaDasa,Ma,09/25/2029,54yrs 3mts
MahaDasa,Ra,09/25/2036,61yrs 3mts
MahaDasa,Ju,09/25/2054,79yrs 3mts
MahaDasa,Sa,09/25/2070,95yrs 3mts
AntarDasa,Mo/Me,07/26/2025,
AntarDasa,Mo/Ke,12/26/2026,
AntarDasa,Mo/Ve,07/27/2027,
AntarDasa,Mo/Su,03/26/2029,
AntarDasa,Ma/Ma,09/25/2029,
AntarDasa,Ma/Ra,02/21/2030,
AntarDasa,Ma/Ju,03/12/2031,
AntarDasa,Ma/Sa,02/16/2032,
AntarDasa,Ma/Me,03/26/2033,
AntarDasa,Ma/Ke,03/24/2034,
AntarDasa,Ma/Ve,08/20/2034,
AntarDasa,Ma/Su,10/20/2035,
