Varga,Varga_Name,Giver,Receiver,Is_Diagonal,Raw_Text,Value_1,Color_1,Value_2,Color_2,Vimsho_Score,Net_Modifier
D1,Rasi,Sun,Sun,True,7.6,7.6,K,,,7.6,18.0
D1,Rasi,Sun,Moon,False,0.1[G],0.1,G,,,,46.0
D1,Rasi,Sun,Mars,False,1.0[G],1.0,G,,,,98.3
D1,Rasi,Sun,Mercury,False,60.0[R] 49.5[G],60.0,R,49.5,G,,-14.7
D1,Rasi,Sun,Jupiter,False,,,,,,,94.8
D1,Rasi,Sun,Venus,False,,,,,,,-14.1
D1,Rasi,Sun,Saturn,False,,,,,,,3.7
D1,Rasi,Moon,Sun,False,5.8[G],5.8,G,,,,18.0
D1,Rasi,Moon,Moon,True,14.2,14.2,K,,,14.2,46.0
D1,Rasi,Moon,Mars,False,42.5[G],42.5,G,,,,98.3
D1,Rasi,Moon,Mercury,False,4.2[R],4.2,R,,,,-14.7
D1,Rasi,Moon,Jupiter,False,34.8[G],34.8,G,,,,94.8
D1,Rasi,Moon,Venus,False,14.1[R],14.1,R,,,,-14.1
D1,Rasi,Moon,Saturn,False,19.5[R],19.5,R,,,,3.7
D1,Rasi,Mars,Sun,False,7.2[G],7.2,G,,,,18.0
D1,Rasi,Mars,Moon,False,,,,,,,46.0
D1,Rasi,Mars,Mars,True,14.2*2,14.2,K,,,14.2*2,98.3
D1,Rasi,Mars,Mercury,False,,,,,,,-14.7
D1,Rasi,Mars,Jupiter,False,34.8[G],34.8,G,,,,94.8
D1,Rasi,Mars,Venus,False,,,,,,,-14.1
D1,Rasi,Mars,Saturn,False,17.3[R],17.3,R,,,,3.7
D1,Rasi,Mercury,Sun,False,,,,,,,18.0
D1,Rasi,Mercury,Moon,False,3.3[G],3.3,G,,,,46.0
D1,Rasi,Mercury,Mars,False,1.7[R],1.7,R,,,,98.3
D1,Rasi,Mercury,Mercury,True,16.5,16.5,K,,,16.5,-14.7
D1,Rasi,Mercury,Jupiter,False,1.0[R],1.0,R,,,,94.8
D1,Rasi,Mercury,Venus,False,2.2[G],2.2,G,,,,-14.1
D1,Rasi,Mercury,Saturn,False,,,,,,,3.7
D1,Rasi,Jupiter,Sun,False,4.9[G],4.9,G,,,,18.0
D1,Rasi,Jupiter,Moon,False,42.6[G],42.6,G,,,,46.0
