Varga,Varga_Name,Influencing_Planet,Modifying_Planet,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,Rahu,Ketu
D1,Rasi,Sun,Sun,1.0[K],3.5[K],5.2[K],3.2[K],1.6[K],6.8[K],4.7[K],3.0[K],1.4[K],,,7.6[K],4.4[K],7.6[K]
D1,Rasi,Sun,Moon,3.7[G],13.3[G],19.6[G],12.2[G],6.1[G],25.7[G],17.8[G],11.2[G],5.3[G],,,28.6[G],16.7[G],28.6[G]
D1,Rasi,Sun,Mars,3.9[G],14.0[G],20.6[G],12.8[G],6.4[G],26.9[G],18.7[G],11.8[G],5.6[G],,,30.0[G],17.5[G],30.0[G]
D1,Rasi,Sun,Mercury,,,,,,,,,,,,,,
D1,Rasi,Sun,Jupiter,3.6[G],12.9[G],19.0[G],11.8[G],5.9[G],24.9[G],17.2[G],10.9[G],5.1[G],,,27.7[G],16.2[G],27.7[G]
D1,Rasi,Sun,Venus,,,,,,,,,,,,,,
D1,Rasi,Sun,Saturn,,,,,,,,,,,,,,
D1,Rasi,Moon,Sun,,11.9[G],11.6[G],41.0[G],29.6[G],16.8[G],5.1[G],,,42.7[G],2.4[G],19.8[G],25.7[G],6.3[G]
D1,Rasi,Moon,Moon,,4.0[K],3.9[K],13.6[K],9.9[K],5.6[K],1.7[K],,,14.2[K],0.8[K],6.6[K],8.5[K],2.1[K]
D1,Rasi,Moon,Mars,,,,,,,,,,,,,,
D1,Rasi,Moon,Mercury,,12.8[G],12.4[G],44.0[G],31.8[G],18.1[G],5.4[G],,,45.9[G],2.6[G],21.2[G],27.6[G],6.8[G]
D1,Rasi,Moon,Jupiter,,23.8[G],23.1[G],81.8[G],59.1[G],33.5[G],10.1[G],,,85.2[G],4.8[G],39.4[G],51.3[G],12.6[G]
D1,Rasi,Moon,Venus,,,,,,,,,,,,,,
D1,Rasi,Moon,Saturn,,,,,,,,,,,,,,
D1,Rasi,Mercury,Sun,5.4[G],31.3[G],72.4[G],53.2[G],4.1[G],96.1[G],68.8[G],46.2[G],25.7[G],3.7[G],,99.0[G],28.3[G],99.0[G]
D1,Rasi,Mercury,Moon,2.5[R],14.3[R],33.1[R],24.3[R],1.9[R],43.9[R],31.5[R],21.1[R],11.7[R],1.7[R],,45.3[R],12.9[R],45.3[R]
D1,Rasi,Mercury,Mars,,,,,,,,,,,,,,
D1,Rasi,Mercury,Mercury,0.9[K],5.2[K],12.1[K],8.9[K],0.7[K],16.0[K],11.5[K],7.7[K],4.3[K],0.6[K],,16.5[K],4.7[K],16.5[K]
D1,Rasi,Mercury,Jupiter,,,,,,,,,,,,,,
D1,Rasi,Mercury,Venus,,,,,,,,,,,,,,
D1,Rasi,Mercury,Saturn,,,,,,,,,,,,,,
D1,Rasi,Jupiter,Sun,,,,,,,,,,,,,,
D1,Rasi,Jupiter,Moon,,49.0[G],8.8[G],69.3[G],53.6[G],54.9[G],10.7[G],,,69.6[G],1.4[G],27.2[G],60.0[G],7.8[G]
D1,Rasi,Jupiter,Mars,,49.0[G],8.8[G],69.3[G],53.6[G],54.9[G],10.7[G],,,69.6[G],1.4[G],27.2[G],60.0[G],7.8[G]
D1,Rasi,Jupiter,Mercury,,23.8[R],4.3[R],33.6[R],26.0[R],26.7[R],5.2[R],,,33.8[R],0.7[R],13.2[R],29.1[R],3.8[R]
D1,Rasi,Jupiter,Jupiter,,8.2[K],1.5[K],11.6[K],8.9[K],9.2[K],1.8[K],,,11.6[K],0.2[K],4.5[K],10.0[K],1.3[K]
D1,Rasi,Jupiter,Venus,,18.5[R],3.3[R],26.1[R],20.2[R],20.7[R],4.1[R],,,26.2[R],0.5[R],10.2[R],22.6[R],2.9[R]
D1,Rasi,Jupiter,Saturn,,,,,,,,,,,,,,
D1,Rasi,Saturn,Sun,,,,,,,,,,,,,,
D1,Rasi,Saturn,Moon,,6.3[R],20.3[R],15.7[R],9.6[R],5.9[R],19.0[R],14.2[R],11.8[R],20.7[R],,,5.8[R],
D1,Rasi,Saturn,Mars,,6.9[R],22.4[R],17.3[R],10.6[R],6.5[R],20.9[R],15.7[R],13.1[R],22.8[R],,,6.4[R],
D1,Rasi,Saturn,Mercury,,,,,,,,,,,,,,
D1,Rasi,Saturn,Jupiter,,,,,,,,,,,,,,
D1,Rasi,Saturn,Venus,,24.1[G],78.4[G],60.4[G],37.2[G],22.9[G],73.2[G],54.7[G],45.7[G],79.7[G],,,22.3[G],
D1,Rasi,Saturn,Saturn,,4.0[K],13.1[K],10.1[K],6.2[K],3.8[K],12.2[K],9.1[K],7.6[K],13.3[K],,,3.7[K],
D2,Hora,Sun,Sun,1.0[K],3.5[K],5.2[K],3.2[K],1.6[K],6.8[K],4.7[K],3.0[K],1.4[K],,,7.6[K],4.4[K],7.6[K]
D2,Hora,Sun,Moon,3.7[G],13.3[G],19.6[G],12.2[G],6.1[G],25.7[G],17.8[G],11.2[G],5.3[G],,,28.6[G],16.7[G],28.6[G]
D2,Hora,Sun,Mars,3.9[G],14.0[G],20.6[G],12.8[G],6.4[G],26.9[G],18.7[G],11.8[G],5.6[G],,,30.0[G],17.5[G],30.0[G]
D2,Hora,Sun,Mercury,,,,,,,,,,,,,,
D2,Hora,Sun,Jupiter,3.6[G],12.9[G],19.0[G],11.8[G],5.9[G],24.9[G],17.2[G],10.9[G],5.1[G],,,27.7[G],16.2[G],27.7[G]
D2,Hora,Sun,Venus,,,,,,,,,,,,,,
D2,Hora,Sun,Saturn,,,,,,,,,,,,,,
D2,Hora,Moon,Sun,,11.9[G],11.6[G],41.0[G],29.6[G],16.8[G],5.1[G],,,42.7[G],2.4[G],19.8[G],25.7[G],6.3[G]
D2,Hora,Moon,Moon,,4.0[K],3.9[K],13.6[K],9.9[K],5.6[K],1.7[K],,,14.2[K],0.8[K],6.6[K],8.5[K],2.1[K]
D2,Hora,Moon,Mars,,,,,,,,,,,,,,
D2,Hora,Moon,Mercury,,12.8[G],12.4[G],44.0[G],31.8[G],18.1[G],5.4[G],,,45.9[G],2.6[G],21.2[G],27.6[G],6.8[G]
D2,Hora,Moon,Jupiter,,23.8[G],23.1[G],81.8[G],59.1[G],33.5[G],10.1[G],,,85.2[G],4.8[G],39.4[G],51.3[G],12.6[G]
D2,Hora,Moon,Venus,,,,,,,,,,,,,,
D2,Hora,Moon,Saturn,,,,,,,,,,,,,,
D2,Hora,Mercury,Sun,5.4[G],31.3[G],72.4[G],53.2[G],4.1[G],96.1[G],68.8[G],46.2[G],25.7[G],3.7[G],,99.0[G],28.3[G],99.0[G]
D2,Hora,Mercury,Moon,2.5[R],14.3[R],33.1[R],24.3[R],1.9[R],43.9[R],31.5[R],21.1[R],11.7[R],1.7[R],,45.3[R],12.9[R],45.3[R]
D2,Hora,Mercury,Mars,,,,,,,,,,,,,,
D2,Hora,Mercury,Mercury,0.9[K],5.2[K],12.1[K],8.9[K],0.7[K],16.0[K],11.5[K],7.7[K],4.3[K],0.6[K],,16.5[K],4.7[K],16.5[K]
D2,Hora,Mercury,Jupiter,,,,,,,,,,,,,,
D2,Hora,Mercury,Venus,,,,,,,,,,,,,,
D2,Hora,Mercury,Saturn,,,,,,,,,,,,,,
D2,Hora,Jupiter,Sun,,,,,,,,,,,,,,
D2,Hora,Jupiter,Moon,,49.0[G],8.8[G],69.3[G],53.6[G],54.9[G],10.7[G],,,69.6[G],1.4[G],27.2[G],60.0[G],7.8[G]
D2,Hora,Jupiter,Mars,,49.0[G],8.8[G],69.3[G],53.6[G],54.9[G],10.7[G],,,69.6[G],1.4[G],27.2[G],60.0[G],7.8[G]
