Varga,Varga_Name,Node,Modifying_Planet,Sun,Moon,Mars,Mercury,Jupiter,Venus,Saturn
D1,Rasi,Rahu,Sun,5.9[K],23.7[G],26.4[G],19.3[G],58.3[G],,
D1,Rasi,Rahu,Moon,6.1[G],23.8[K],27.0[G],7.9[R],1.1[G],6.6[R],14.9[R]
D1,Rasi,Rahu,Mars,10.0[G],,52.0[K],,28.9[G],,10.0[R]
D1,Rasi,Rahu,Mercury,,22.1[G],25.8[R],9.1[K],0.1[R],0.4[G],0.2[G]
D1,Rasi,Rahu,Jupiter,7.4[G],10.9[G],40.1[G],,0.0[K],,
D1,Rasi,Rahu,Venus,,,,,3.8[R],0.4[K],4.3[G]
D1,Rasi,Rahu,Saturn,,,,,,6.5[R],9.8[K]
D1,Rasi,Ketu,Sun,10.2[K],5.8[G],6.7[G],67.7[G],7.6[G],,
D1,Rasi,Ketu,Moon,10.4[G],5.9[K],6.8[G],27.7[R],0.1[G],,
D1,Rasi,Ketu,Mars,17.2[G],,13.2[K],,3.8[G],,
D1,Rasi,Ketu,Mercury,,5.5[G],6.5[R],31.8[K],0.0[R],,
D1,Rasi,Ketu,Jupiter,12.7[G],2.7[G],10.2[G],,0.0[K],,
D1,Rasi,Ketu,Venus,,,,,0.5[R],,
D1,Rasi,Ketu,Saturn,,,,,,,
D2,Hora,Rahu,Sun,5.9[K],23.7[G],26.4[G],19.3[G],58.3[G],,
D2,Hora,Rahu,Moon,6.1[G],23.8[K],27.0[G],7.9[R],1.1[G],6.6[R],14.9[R]
D2,Hora,Rahu,Mars,10.0[G],,52.0[K],,28.9[G],,10.0[R]
D2,Hora,Rahu,Mercury,,22.1[G],25.8[R],9.1[K],0.1[R],0.4[G],0.2[G]
D2,Hora,Rahu,Jupiter,7.4[G],10.9[G],40.1[G],,0.0[K],,
D2,Hora,Rahu,Venus,,,,,3.8[R],0.4[K],4.3[G]
D2,Hora,Rahu,Saturn,,,,,,6.5[R],9.8[K]
D2,Hora,Ketu,Sun,10.2[K],5.8[G],6.7[G],67.7[G],7.6[G],,
D2,Hora,Ketu,Moon,10.4[G],5.9[K],6.8[G],27.7[R],0.1[G],,
D2,Hora,Ketu,Mars,17.2[G],,13.2[K],,3.8[G],,
D2,Hora,Ketu,Mercury,,5.5[G],6.5[R],31.8[K],0.0[R],,
D2,Hora,Ketu,Jupiter,12.7[G],2.7[G],10.2[G],,0.0[K],,
D2,Hora,Ketu,Venus,,,,,0.5[R],,
D2,Hora,Ketu,Saturn,,,,,,,
D3,Drekkana,Rahu,Sun,5.9[K],23.7[G],26.4[G],19.3[G],58.3[G],,
D3,Drekkana,Rahu,Moon,6.1[G],23.8[K],27.0[G],7.9[R],1.1[G],6.6[R],14.9[R]
D3,Drekkana,Rahu,Mars,10.0[G],,52.0[K],,28.9[G],,10.0[R]
D3,Drekkana,Rahu,Mercury,,22.1[G],25.8[R],9.1[K],0.1[R],0.4[G],0.2[G]
D3,Drekkana,Rahu,Jupiter,7.4[G],10.9[G],40.1[G],,0.0[K],,
D3,Drekkana,Rahu,Venus,,,,,3.8[R],0.4[K],4.3[G]
D3,Drekkana,Rahu,Saturn,,,,,,6.5[R],9.8[K]
