Varga,Varga_Name,Giver,Receiver,Is_Diagonal,Raw_Text,Modifier_1,Color_1,Isolated_1,Modifier_2,Color_2,Isolated_2,Base_Shadbala,Net_Total
D1,Rasi,Sun,Sun,True,450.6[K],,,,,,,450.6,794.2
D1,Rasi,Sun,Moon,False,1.3[G] +384.7[G],1.3[G],G,+384.7[G],,,,,900.1
D1,Rasi,Sun,Mars,False,10.2[G] +464.8[G],10.2[G],G,+464.8[G],,,,,1252.7
D1,Rasi,Sun,Mercury,False,450.6[R] 450.6[G] 187.8[R] +1089.1[G],450.6[R],R,450.6[G],,,,,483.5
D1,Rasi,Sun,Jupiter,False,,,,,,,,,1116.6
D1,Rasi,Sun,Venus,False,55.3[R] 420.9[R],55.3[R],R,420.9[R],,,,,-276.1
D1,Rasi,Sun,Saturn,False,14.9[R] 329.6[R],14.9[R],R,329.6[R],,,,,18.3
D1,Rasi,Moon,Sun,False,98.0[G] +548.7[G],98.0[G],G,+548.7[G],,,,,794.2
D1,Rasi,Moon,Moon,True,383.5[K],,,,,,,383.5,900.1
D1,Rasi,Moon,Mars,False,383.5[G] +838.1[G],383.5[G],G,+838.1[G],,,,,1252.7
D1,Rasi,Moon,Mercury,False,154.9[R] 483.5[R],154.9[R],R,483.5[R],,,,,483.5
D1,Rasi,Moon,Jupiter,False,383.5[G] +849.7[G],383.5[G],G,+849.7[G],,,,,1116.6
D1,Rasi,Moon,Venus,False,383.5[R] 92.8[R],383.5[R],R,92.8[R],,,,,-276.1
D1,Rasi,Moon,Saturn,False,383.5[R] -39.0[R],383.5[R],R,-39.0[R],,,,,18.3
D1,Rasi,Mars,Sun,False,144.5[G] +595.2[G],144.5[G],G,+595.2[G],,,,,794.2
D1,Rasi,Mars,Moon,False,454.6[B] 383.5[B],454.6[B],B,383.5[B],,,,,900.1
D1,Rasi,Mars,Mars,True,454.6*2[K],,,,,,,454.6*2,1252.7
D1,Rasi,Mars,Mercury,False,245.7[B] 638.5[B],245.7[B],B,638.5[B],,,,,483.5
D1,Rasi,Mars,Jupiter,False,454.6[G] +920.8[G],454.6[G],G,+920.8[G],,,,,1116.6
D1,Rasi,Mars,Venus,False,322.4[B] 476.2[B],322.4[B],B,476.2[B],,,,,-276.1
D1,Rasi,Mars,Saturn,False,404.0[R] -59.5[R],404.0[R],R,-59.5[R],,,,,18.3
D1,Rasi,Mercury,Sun,False,638.5[B] 450.6[B],638.5[B],B,450.6[B],,,,,794.2
D1,Rasi,Mercury,Moon,False,49.2[G] +432.6[G],49.2[G],G,+432.6[G],,,,,900.1
D1,Rasi,Mercury,Mars,False,61.8[R] 392.8[R],61.8[R],R,392.8[R],,,,,1252.7
D1,Rasi,Mercury,Mercury,True,638.5[K],,,,,,,638.5,483.5
D1,Rasi,Mercury,Jupiter,False,26.1[R] 440.1[R],26.1[R],R,440.1[R],,,,,1116.6
D1,Rasi,Mercury,Venus,False,31.0[G] +507.2[G],31.0[G],G,+507.2[G],,,,,-276.1
D1,Rasi,Mercury,Saturn,False,,,,,,,,,18.3
D1,Rasi,Jupiter,Sun,False,101.0[G] +551.7[G],101.0[G],G,+551.7[G],,,,,794.2
D1,Rasi,Jupiter,Moon,False,466.2[G] +849.7[G],466.2[G],G,+849.7[G],,,,,900.1
D1,Rasi,Jupiter,Mars,False,466.2[G] +920.8[G],466.2[G],G,+920.8[G],,,,,1252.7
D1,Rasi,Jupiter,Mercury,False,154.7[B] 638.5[B],154.7[B],B,638.5[B],,,,,483.5
D1,Rasi,Jupiter,Jupiter,True,466.2[K],,,,,,,466.2,1116.6
D1,Rasi,Jupiter,Venus,False,391.4[B] 476.2[B],391.4[B],B,476.2[B],,,,,-276.1
D1,Rasi,Jupiter,Saturn,False,349.4[B] 344.5[B],349.4[B],B,344.5[B],,,,,18.3
D1,Rasi,Venus,Sun,False,,,,,,,,,794.2
D1,Rasi,Venus,Moon,False,178.9[B] 383.5[B],178.9[B],B,383.5[B],,,,,900.1
