Varga,Lagna,Sun,Moon,Mars,Mercury,Jupiter,Venus,Saturn,Rahu,Ketu
D1,Cancer 28°53',Gemini 13°25',Aries 13°05',Aries 10°43',Gemini 22°20',Aries 17°25',Cancer 28°10',Cancer 17°23',Sagittarius 00°53',Gemini 00°53'
D2,Capricorn 27°47',Gemini 26°50',Aries 26°10',Aries 21°25',Sagittarius 14°40',Libra 04°51',Capricorn 26°19',Capricorn 04°46',Sagittarius 01°46',Gemini 01°46'
D3,Pisces 26°41',Libra 10°16',Leo 09°15',Leo 02°07',Aquarius 06°59',Leo 22°16',Pisces 24°28',Scorpio 22°10',Sagittarius 02°39',Gemini 02°39'
D4,Aries 25°34',Virgo 23°41',Cancer 22°20',Cancer 12°50',Sagittarius 29°19',Libra 09°42',Aries 22°37',Capricorn 09°33',Sagittarius 03°32',Gemini 03°32'
D7,Cancer 22°15',Virgo 03°57',Cancer 01°35',Gemini 14°57',Scorpio 06°17',Leo 01°58',Cancer 17°05',Taurus 01°43',Sagittarius 06°11',Gemini 06°11'
D9,Pisces 20°02',Aquarius 00°48',Cancer 27°46',Cancer 06°22',Aries 20°57',Virgo 06°49',Pisces 13°24',Sagittarius 06°29',Aries 07°57',Libra 07°57'
D10,Gemini 18°56',Libra 14°13',Leo 10°50',Cancer 17°04',Capricorn 13°17',Virgo 24°14',Gemini 11°33',Libra 23°52',Sagittarius 08°50',Gemini 08°50'
D12,Gemini 16°43',Scorpio 11°04',Virgo 07°01',Leo 08°29',Aquarius 27°56',Libra 29°05',Gemini 07°52',Capricorn 28°38',Sagittarius 10°35',Gemini 10°35'
D16,Cancer 12°17',Cancer 04°45',Libra 29°21',Virgo 21°19',Scorpio 27°14',Capricorn 08°47',Cancer 00°29',Capricorn 08°11',Sagittarius 14°07',Sagittarius 14°07'
D20,Scorpio 07°52',Aries 28°26',Sagittarius 21°41',Scorpio 04°08',Libra 26°33',Pisces 18°29',Libra 23°07',Pisces 17°44',Leo 17°40',Leo 17°40'
D24,Leo 03°26',Gemini 22°08',Gemini 14°01',Aries 16°58',Capricorn 25°52',Virgo 28°11',Virgo 15°44',Gemini 27°17',Leo 21°11',Leo 21°11'
D27,Pisces 00°07',Libra 02°24',Pisces 23°17',Capricorn 19°05',Gemini 02°51',Cancer 20°28',Aquarius 10°12',Aries 19°27',Aries 23°50',Libra 23°50'
D30,Aquarius 26°48',Taurus 12°40',Taurus 02°32',Aquarius 21°13',Aquarius 09°50',Virgo 12°44',Aquarius 04°40',Pisces 11°37',Aries 26°29',Aries 26°29'
D40,Sagittarius 15°44',Virgo 26°53',Virgo 13°22',Gemini 08°17',Virgo 23°07',Pisces 06°59',Scorpio 16°13',Virgo 05°29',Taurus 05°19',Taurus 05°19'
D45,Scorpio 10°12',Leo 03°59',Scorpio 18°48',Leo 01°49',Virgo 14°45',Gemini 04°06',Libra 07°00',Gemini 02°25',Capricorn 09°44',Capricorn 09°44'
D60,Aries 23°35',Leo 25°19',Gemini 05°04',Capricorn 12°26',Aquarius 19°40',Aquarius 25°28',Pisces 09°20',Taurus 23°13',Capricorn 22°58',Cancer 22°58'
